Toronto — Average Value of Owner-occupied Dwellings ($)  
2016
,Single-Detached,Semi-Detached,Row,Duplex,Low-Rise Apt.,High-Rise Apt.,Other,Total,
Weston,"622,122","480,104","587,238","576,345","472,195","216,487",0,"513,269",
Wexford-Maryvale,"622,050","398,098",0,"631,181","621,416","266,418",0,"609,025",
Whitchurch/Stouffville,"897,019","542,996","591,526","746,840","411,045","584,888",0,"836,075",
Willowdale East/Newtonbrook East,"1,615,406","914,514","1,011,694","1,374,937","550,382","436,614",0,"841,320",
Willowdale West/Newtonbrook West,"1,194,595","719,308","735,026","1,193,373","585,720","442,079",0,"832,320",
Willowridge-Martingrove-Richview,"776,388","535,388","523,711","814,588",0,"343,109",0,"718,926",
Woburn,"594,735",0,"482,200","581,186","523,461","287,056",0,"510,944",
Woodbine Corridor/Greenwood-Coxwell,"796,339","658,794","660,238","750,782","668,104","395,790",0,"693,731",
Woodbine-Lumsden,"668,589",0,"569,301","648,243","581,902",0,0,"646,971",
Wychwood,"1,261,660","663,150","814,309","1,011,197","812,347","420,633",0,"907,764",
Yonge-Eglinton,"1,536,602","1,204,667","982,965","1,502,276","1,122,612","563,630",0,"1,311,973",
Yonge-St. Clair,"1,943,382","1,486,334","1,762,385","2,171,953","1,306,997","828,813",0,"1,288,413",
Yorkdale-Glen Park,"911,813","379,992","690,349","880,508","674,235","195,394",0,"724,452",
Toronto,"884,379","536,750","625,953","769,997","627,584","410,673","664,400","734,893",

Notes
"Other dwellings comprise other single-attached houses, mobile homes, and other movable dwellings."
Low-rise refers to apartments in buildings with fewer than 5 storeys
High-rise refers to apartments in buildings with 5 or more storeys
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
