Toronto — Average Value of Owner-occupied Dwellings ($)  
2011
,Single-Detached,Semi-Detached,Row,Duplex,Low-Rise Apt.,High-Rise Apt.,Other,Total,
Tam O'Shanter-Sullivan,"459,252","353,810","321,464","382,012","283,500","299,596",0,"393,477",
The Beaches,"931,678","625,147","634,680","756,074","602,422","429,097",0,"740,764",
Thorncliffe Park,0,0,"446,676",0,"355,403","241,809",0,"283,790",
University/Annex,"1,037,905","907,003","792,618","773,536","777,120","690,427","1,073,107","803,595",
Uxbridge,"479,077","318,599","292,507","340,688","267,894",0,0,"459,892",
Victoria Village,"534,456","400,026","374,830","335,900","231,764","271,812",0,"391,483",
Waterfront Communities-The Island,"308,090","521,216","528,407",0,"562,355","415,958",0,"418,977",
West Hill,"377,372","296,041","244,707","346,517","266,755","162,832","335,135","316,456",
West Humber-Clairville,"416,951","360,977","302,387","464,106","385,994","227,336",0,"381,612",
Westminster-Branson,"638,995","431,093","345,849","503,254","427,586","268,323",0,"388,356",
Weston,"404,682","376,116","369,448","392,505","324,430","232,527",0,"342,427",
Wexford-Maryvale,"391,598",0,"234,923","403,847","408,194","185,813",0,"387,243",
Whitchurch/Stouffville,"574,425","378,527","367,228","522,784","257,851",0,0,"542,454",
Willowdale East/Newtonbrook East,"861,075","654,223","643,826","695,855","424,148","363,988",0,"545,377",
Willowdale West/Newtonbrook West,"663,947","433,507","480,563","618,437","377,150","348,479",0,"515,022",
Willowridge-Martingrove-Richview,"558,288","359,085","461,266","559,089",0,"244,380",0,"516,160",
Woburn,"361,246","306,277","304,348","336,607","396,741","245,201",0,"330,961",
Woodbine Corridor/Greenwood-Coxwell,"502,953","443,326","471,978","479,427","446,122","230,652","430,928","460,547",
Woodbine-Lumsden,"425,888","372,283","430,307","388,809","308,635",0,0,"411,256",
Wychwood,"855,161","562,377","437,973","649,511","536,257","254,629",0,"629,223",
Yonge-Eglinton,"1,004,917","710,443","748,680","928,148","661,086","379,989",0,"900,233",
Yonge-St.Clair,"1,233,800","1,313,327","890,819","1,411,405","724,449","621,735",0,"904,096",
Yorkdale-Glen Park,"576,036","458,746","295,535","568,503","529,360","148,441",0,"479,009",
Toronto,"578,649","422,555","366,694","484,865","437,826","320,295","478,576","495,378",

Notes
"Other dwellings comprise other single-attached houses, mobile homes, and other movable dwellings."
Low-rise refers to apartments in buildings with fewer than 5 storeys
High-rise refers to apartments in buildings with 5 or more storeys
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
