ID,Neighbourhoods,Single-Detached,Semi-Detached,Row,Duplex,Low-Rise Apt.,High-Rise Apt.,Other,Total,ID_,Total_
"154",West Humber-Clairville,"599488","372890","523028","576749","610068","270012","0","521326","154","521326"
"118",Westminster-Branson,"950491","504230","577205","757159","598687","367184","0","547095","118","547095"
"75",Weston,"622122","480104","587238","576345","472195","216487","0","513269","75","513269"
"70",Wexford-Maryvale,"622050","398098","0","631181","621416","266418","0","609025","70","609025"
"134",Willowdale East/Newtonbrook East,"1615406","914514","1011694","1374937","550382","436614","0","841320","134","841320"
"116",Willowdale West/Newtonbrook West,"1194595","719308","735026","1193373","585720","442079","0","832320","116","832320"
"148",Willowridge-Martingrove-Richview,"776388","535388","523711","814588","0","343109","0","718926","148","718926"
"21",Woburn,"594735","0","482200","581186","523461","287056","0","510944","21","510944"
"92",Woodbine Corridor/Greenwood-Coxwell,"796339","658794","660238","750782","668104","395790","0","693731","92","693731"
"96",Woodbine-Lumsden,"668589","0","569301","648243","581902","0","0","646971","96","646971"
"64",Wychwood,"1261660","663150","814309","1011197","812347","420633","0","907764","64","907764"
"58",Yonge-Eglinton,"1536602","1204667","982965","1502276","1122612","563630","0","1311973","58","1311973"
"61",Yonge-St. Clair,"1943382","1486334","1762385","2171953","1306997","828813","0","1288413","61","1288413"
"122",Yorkdale-Glen Park,"911813","379992","690349","880508","674235","195394","0","724452","122","724452"
"38",Toronto,"884379","536750","625953","769997","627584","410673","664400","734893","38","734893"
"17",Agincourt/Malvern,"685103","441068","542510","624138","449561","251707","489465","541697","17","541697"
"18",Agincourt/Malvern,"685103","441068","542510","624138","449561","251707","489465","541697","18","541697"
"136",Bayview Woods-Steeles/Hillcrest Village,"1157319","529473","669588","1093361","583342","585832","0","834055","136","834055"
"90",Danforth Village-East York,"757071","538625","694199","725889","766523","361392","0","724069","90","724069"
"108",Don Valley Village/Pleasant View,"993109","566763","708916","972721","736946","355337","0","700222","108","700222"
"67",Dovercourt/Davenport/Junction,"777381","581274","659964","798808","684178","315891","731612","689349","67","689349"
"104",Dufferin Grove/Little Portugal,"939930","727822","828974","860081","840671","386926","828543","735724","104","735724"
"72",L'Amoreaux/Steeles/Milliken,"799325","473021","602554","779715","575789","306259","620472","600343","72","600343"
"30",L'Amoreaux/Steeles/Milliken,"799325","473021","602554","779715","575789","306259","620472","600343","30","600343"
"79",Little Italy/Trinity-Bellwoods,"1203442","865844","977886","1006680","1021519","477151","948079","972057","79","972057"
"84",Moss Park/Regent Park,"1032171","776667","1116487","1200311","625264","469333","0","566032","84","566032"
"152",Mount Olive-Silverstone-Jamestown/Thistletown,"595065","395748","479362","600469","497207","240225","0","466658","152","466658"
"90",Playter Estates-Danforth,"1068494","832549","780304","1003646","821335","0","874571","890908","90","890908"
"88",Riverdale,"1019564","732227","809208","867934","743603","506357","960140","795410","88","795410"
"156",Rustic/Pelmo Park/Humberlea,"727843","455802","722837","701488","681449","265329","0","688175","156","688175"
"63",University/Annex,"1729787","1133777","1340138","1417255","1272164","1032386","1058651","1228133","63","1228133"
"117",Willowdale West/Newtonbrook West,"1194595","719308","735026","1193373","585720","442079","0","832320","117","832320"
"91",Woodbine Corridor/Greenwood-Coxwell,"796339","658794","660238","750782","668104","395790","0","693731","91","693731"
